title,year,wiki_id
Repulsion,1965,1001142
Dog Day Afternoon,1975,101914
Pat Garrett & Billy the Kid,1973,1036105
Speed,1994,1046769
Thelma & Louise,1991,106117
Scooby-Doo,2002,1072075
The Muppets Take Manhattan,1984,1099178
Midnight Run,1988,1122030
Re-Animator,1985,1129009
13 Ghosts,1960,1135297
Office Killer,1997,1146934
Don't Torture a Duckling,1972,11510742
300,2007,11605792
The Church,1989,11680456
Zontar: The Thing from Venus,1967,11706092
Godzilla,1954,1190931
The Shining,1980,1197277
Destroy All Monsters,1968,11994
Terror of Mechagodzilla,1975,12001
Cloverfield,2008,12064359
Tommy,1975,1221714
Nowhere,1997,1223386
Bad Lieutenant,1992,1238102
Candyman,1992,1256990
Rebecca,1940,1259785
Kwaidan,1965,1268511
Purple Noon,1960,1279798
On the Town,1949,12816415
Field of Dreams,1989,129524
Les Enfants Terribles,1950,13118358
"The 5,000 Fingers of Dr. T.",1953,1314961
Blow Out,1981,1317987
Female Trouble,1974,1328186
Thief,1981,1330774
Ben-Hur,1959,1343342
Written on the Wind,1956,1365472
Zero Focus,1961,13748529
The Circus,1928,142780
Brewster McCloud,1970,1436649
Scanners,1981,14581235
Stop Making Sense,1984,1471831
In a Lonely Place,1950,14825334
Heavy Metal,1981,155303
Carmen Comes Home,1951,15672543
Jennifer's Body,2009,15713038
Saboteur,1942,1576720
The Spirit of the Beehive,1973,1583660
The Buddy Holly Story,1978,164359
Reign of Fire,2002,164698
Carnival of Souls,1962,16674680
Friday the 13th,1980,168958
In the Heat of the Night,1967,1715414
Hour of the Wolf,1968,1724742
The Brain That Wouldn't Die,1962,1771762
Ring,1998,180785
Pink Narcissus,1971,183550
"Sorry, Wrong Number",1948,183828
Raintree County,1957,18549292
Late Chrysanthemums,1954,18587615
Bullet in the Head,1990,1862671
Boxcar Bertha,1972,1873017
Buck and the Preacher,1972,18764211
Martial Law,1990,18791040
Singin' in the Rain,1952,1883157
Jaws,1975,18877192
V for Vendetta,2006,1891886
The Sicilian Clan,1969,19158255
The Wild Angels,1966,1925631
